run_id,step,algo,opt,pivot,scheme,cutoff,depth,tail,run_threshold,iterative,reuse_buffer,fitness_ms,comparisons,swaps,n,trials_per_dist,dist_mask,pop_idx,temp
massive_1762530540737,1,QS,GA,First,Hoare,34,22,0,,,,9.7765,2472005,839737,100000,1,1,90,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,22,0,,,,9.77662,2514445,871518,100000,1,1,91,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,23,0,,,,9.795,2582851,887260,100000,1,1,92,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,19,0,,,,9.79908,2468995,853892,100000,1,1,93,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,9.82871,2528989,875271,100000,1,1,94,0.000000
massive_1762530540737,1,QS,GA,Last,Hoare,34,23,0,,,,9.847,2444808,834873,100000,1,1,95,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,22,0,,,,9.85287,2540357,891737,100000,1,1,96,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,39,22,0,,,,9.85508,2588022,919658,100000,1,1,97,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,18,0,,,,9.85921,2538304,822274,100000,1,1,98,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,24,0,,,,9.8755,2481444,826695,100000,1,1,99,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,22,0,,,,9.892,2574743,823484,100000,1,1,100,0.000000
massive_1762530540737,1,QS,GA,Median3,Hoare,36,21,0,,,,9.90767,2359654,848133,100000,1,1,101,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,23,0,,,,9.95883,2668575,868041,100000,1,1,102,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,22,0,,,,9.96604,2486724,857554,100000,1,1,103,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,9.96608,2581369,871891,100000,1,1,104,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,39,19,0,,,,9.97225,2599344,915819,100000,1,1,105,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,18,0,,,,10.0175,2504040,836273,100000,1,1,106,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,10.0345,2500344,868625,100000,1,1,107,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,21,0,,,,10.0529,2448026,838320,100000,1,1,108,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,10.0612,2481109,887235,100000,1,1,109,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,19,0,,,,10.0619,2459518,830890,100000,1,1,110,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,20,0,,,,10.086,2578185,838341,100000,1,1,111,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,10.1278,2586222,867175,100000,1,1,112,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,21,0,,,,10.1783,2628035,870069,100000,1,1,113,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,19,0,,,,10.1806,2465971,888660,100000,1,1,114,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,0,,,,10.2356,2483420,830176,100000,1,1,115,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,31,23,0,,,,10.2419,2553423,788769,100000,1,1,116,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,31,20,0,,,,10.3091,2557516,789519,100000,1,1,117,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,0,,,,10.327,2567703,816524,100000,1,1,118,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,10.4073,2447642,840156,100000,1,1,119,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,26,0,,,,10.4368,2520685,872693,100000,1,1,120,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,10.4464,2620024,885040,100000,1,1,121,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,18,0,,,,10.4648,2559487,887667,100000,1,1,122,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,10.4658,2528372,889651,100000,1,1,123,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,24,0,,,,10.4764,2527336,887939,100000,1,1,124,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,20,0,,,,10.5322,2670796,834190,100000,1,1,125,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,39,23,0,,,,10.5816,2545408,924432,100000,1,1,126,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,23,0,,,,10.5942,2496699,872006,100000,1,1,127,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,21,0,,,,10.6437,2455088,827361,100000,1,1,128,0.000000
massive_1762530540737,1,QS,GA,Last,Hoare,35,21,0,,,,10.6735,2626273,854276,100000,1,1,129,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,0,,,,10.6812,2627027,836267,100000,1,1,130,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,18,0,,,,10.6973,2521721,887400,100000,1,1,131,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,32,22,0,,,,10.6992,2463790,810169,100000,1,1,132,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,24,0,,,,10.7008,2655704,849220,100000,1,1,133,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,21,0,,,,10.7275,2505282,873503,100000,1,1,134,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,19,0,,,,10.7322,2532748,865419,100000,1,1,135,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,0,,,,10.739,2566427,872276,100000,1,1,136,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,22,0,,,,10.7393,2491105,870216,100000,1,1,137,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,23,0,,,,10.7589,2508004,856342,100000,1,1,138,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,24,0,,,,10.7955,2435219,825178,100000,1,1,139,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,24,0,,,,10.8506,2534504,884306,100000,1,1,140,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,10.8867,2623817,832639,100000,1,1,141,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,18,0,,,,10.9325,2614149,824362,100000,1,1,142,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,16,0,,,,10.9645,2606235,868882,100000,1,1,143,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,24,0,,,,10.9907,2549306,837880,100000,1,1,144,0.000000
massive_1762530540737,1,QS,GA,Last,Hoare,35,18,0,,,,11.0154,2387664,862800,100000,1,1,145,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,35,24,0,,,,11.03,2271581,1342993,100000,1,1,146,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,19,0,,,,11.0483,2553632,857207,100000,1,1,147,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,1,,,,11.0699,2568417,839426,100000,1,1,148,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,11.1605,2597040,840880,100000,1,1,149,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,20,0,,,,11.1634,2514582,839589,100000,1,1,150,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,21,0,,,,11.172,2522463,824264,100000,1,1,151,0.000000
massive_1762530540737,1,QS,GA,Median3,Hoare,37,21,0,,,,11.1903,2386460,865629,100000,1,1,152,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,19,0,,,,11.2178,2556386,876694,100000,1,1,153,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,38,24,0,,,,11.2502,2515701,903982,100000,1,1,154,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,21,0,,,,11.2505,2486221,821064,100000,1,1,155,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,23,0,,,,11.4607,2542031,892068,100000,1,1,156,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,0,,,,11.4629,2466564,843102,100000,1,1,157,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,24,0,,,,11.4832,2711611,820083,100000,1,1,158,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,11.5199,2575553,886448,100000,1,1,159,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,22,0,,,,11.5249,2679815,886409,100000,1,1,160,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,23,0,,,,11.5287,2632301,870624,100000,1,1,161,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,38,20,0,,,,11.5459,2711715,898244,100000,1,1,162,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,24,0,,,,11.5483,2576400,887905,100000,1,1,163,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,18,0,,,,11.5683,2516652,861036,100000,1,1,164,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,20,0,,,,11.5845,2551446,840812,100000,1,1,165,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,18,0,,,,11.6121,2584763,821169,100000,1,1,166,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,0,,,,11.6237,2655672,820122,100000,1,1,167,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,21,0,,,,11.6432,2556858,869658,100000,1,1,168,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,11.6456,2534903,835250,100000,1,1,169,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,11.6572,2524347,840929,100000,1,1,170,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,18,0,,,,11.8011,2557091,841634,100000,1,1,171,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,24,0,,,,11.8384,2653915,823561,100000,1,1,172,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,18,1,,,,11.9097,2447184,871767,100000,1,1,173,0.000000
massive_1762530540737,1,QS,GA,Last,Hoare,33,21,0,,,,11.9434,2579361,825438,100000,1,1,174,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,0,,,,12.011,2494787,842866,100000,1,1,175,0.000000
